Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.6875,0.8728750000000001,0.9968125,1.0,0.8114375
Licensing,0.5,0.5,0.5,0.5,0.5,0.5
Interlinking,8.695201144129992e-05,0.00027421803724054995,0.00129016685516185,0.007608707742937525,0.0237037499782999,0.006592758925016225
Performance,0.505,0.506875,0.7537499999999999,1.0,1.0,0.7531249999999999
Accuracy,0.9990697674418604,0.9994774747234073,0.9997906885752947,0.999976,1.0,0.9996627861481124
Consistency,0.2,0.2,0.3931893129923607,0.5897839694885411,0.6,0.3965946564961803
Conciseness,0.4926852415571393,0.8471206935356437,0.9753579220975725,0.9866157480314961,0.9901129921259842,0.8583785194695672
Verifiability,0.4983333333333333,0.4983333333333333,0.5816666666666667,0.7066666666666667,0.8316666666666667,0.6233333333333333
Reputation,7.523369067769358e-06,2.808132474633371e-05,0.00028092061248294423,0.0016435714226103498,0.0049935639454613,0.0013907321348737393
Believability,0.75,0.75,0.75,0.8125,1.0,0.8125
Timeliness,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,0.0,0.0,0.015,0.055,0.13,0.04
Amount,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Interoperability,0.3018867924528302,0.4391080617495712,0.49937424242424244,0.5484684782608695,0.6521739130434783,0.4882022975861983
Rep.-Conc.,0.4884897218079242,0.49712242828595316,0.49999999855598143,0.5000037038829965,0.5000148155319859,0.49712613361296826
Underst.,0.0838629142078983,0.2164060913353431,0.2676840614269717,0.33176891020147165,0.5027327233775305,0.28049094010984305
Interpretability,0.9784939573013592,0.9927660606010714,0.998726938600102,0.9999478250055992,0.9999999535247116,0.9939869470065688
Versatility,0.3333333333333333,0.3333333333333333,0.5,0.75,1.0,0.5833333333333334
Security,1.0,1.0,1.0,1.0,1.0,1.0
Score,0.532,0.5365,0.542,0.546,0.546,0.5405
