Sparql endpoint,Availability of RDF dump (metadata),Availability VoID file,Availability of a common accepted Media Type,License machine redeable (metadata),License machine redeable (query)
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",-
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",-
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",-
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",-
Available,1,VoID file available,True,http://www.opendefinition.org/licenses/cc-by,-
Available,1,VoID file absent,False,"{'url': 'http://reference.data.gov.uk/id/open-government-licence', 'type': 'uk-ogl', 'title': 'UK Open Government Licence (OGL)'}",http://www.nationalarchives.gov.uk/doc/open-government-licence/
Available,0,VoID file offline,No dump available,http://www.opendefinition.org/licenses/cc-by,https://creativecommons.org/licenses/by/4.0/
offline,1,VoID file available,False,http://www.opendefinition.org/licenses/cc-zero,http://creativecommons.org/publicdomain/zero/1.0/
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",-
Available,1,VoID file absent,True,http://www.opendefinition.org/licenses/cc-by,-
Available,1,VoID file absent,False,http://www.opendefinition.org/licenses/cc-by,https://creativecommons.org/licenses/by/4.0/
Available,1,VoID file absent,True,"{'url': 'http://www.opendefinition.org/licenses/odc-by', 'type': 'odc-by', 'title': 'Open Data Commons Attribution License'}",http://creativecommons.org/publicdomain/zero/1.0/
Available,1,VoID file absent,False,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",https://w3id.org/italia/env/ld/catalog/license/ccby40
Available,1,VoID file absent,False,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",https://w3id.org/italia/env/ld/catalog/license/ccby40
Available,1,VoID file absent,False,http://www.opendefinition.org/licenses/cc-by,https://w3id.org/italia/env/ld/catalog/license/ccby40
Available,1,VoID file absent,False,"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",https://w3id.org/italia/env/ld/catalog/license/ccby40
-,1,VoID file available,True,http://creativecommons.org/licenses/by-nc/2.0/,absent
Available,0,VoID file absent,No dump available,"{'type': 'notspecified', 'title': 'License not specified'}",-
Available,0,VoID file absent,No dump available,"{'url': 'http://www.opendefinition.org/licenses/cc-by-sa', 'type': 'cc-by-sa', 'title': 'Creative Commons Attribution Share-Alike'}",-
Available,1,VoID file absent,True,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
