License machine redeable (metadata),count
False,159
http://www.opendefinition.org/licenses/cc-by,117
"{'url': 'http://www.opendefinition.org/licenses/cc-by', 'type': 'cc-by', 'title': 'Creative Commons Attribution'}",112
http://www.opendefinition.org/licenses/cc-zero,68
"{'type': 'notspecified', 'title': 'License not specified'}",57
http://www.opendefinition.org/licenses/cc-by-sa,36
"{'url': 'http://www.opendefinition.org/licenses/cc-zero', 'type': 'cc-zero', 'title': 'Creative Commons CCZero'}",23
"{'url': 'http://www.opendefinition.org/licenses/cc-by-sa', 'type': 'cc-by-sa', 'title': 'Creative Commons Attribution Share-Alike'}",23
http://www.opendefinition.org/licenses/odc-odbl,19
"{'type': 'other-open', 'title': 'Other (Open)'}",14
"{'url': 'http://reference.data.gov.uk/id/open-government-licence', 'type': 'uk-ogl', 'title': 'UK Open Government Licence (OGL)'}",12
"{'url': 'http://creativecommons.org/licenses/by-nc/2.0/', 'type': 'cc-nc', 'title': 'Creative Commons Non-Commercial (Any)'}",11
http://creativecommons.org/licenses/by-nc/2.0/,10
"{'type': 'other-pd', 'title': 'Other (Public Domain)'}",9
http://www.opendefinition.org/licenses/odc-by,8
https://opendefinition.org/licenses/fal,8
"{'url': 'http://www.opendefinition.org/licenses/odc-pddl', 'type': 'odc-pddl', 'title': 'Open Data Commons Public Domain Dedication and License (PDDL)'}",8
http://www.opendefinition.org/licenses/gfdl,8
http://www.opendefinition.org/licenses/odc-pddl,7
https://creativecommons.org/licenses/by-sa/3.0/,7
"{'type': 'other-closed', 'title': 'Other (Not Open)'}",7
"{'url': 'http://www.opendefinition.org/licenses/odc-by', 'type': 'odc-by', 'title': 'Open Data Commons Attribution License'}",6
https://creativecommons.org/licenses/by/3.0/,6
http://reference.data.gov.uk/id/open-government-licence,6
https://opensource.org/licenses/MIT,5
"{'url': 'http://www.opendefinition.org/licenses/gfdl', 'type': 'gfdl', 'title': 'GNU Free Documentation License'}",4
"{'type': 'cc-nd', 'title': 'cc-nd'}",3
"{'type': 'other-at', 'title': 'Other (Attribution)'}",3
https://www.apache.org/licenses/LICENSE-2.0,2
https://opendefinition.org/licenses/against-drm,2
"{'type': '65', 'title': '65'}",1
"{'url': 'http://www.opendefinition.org/licenses/odc-odbl', 'type': 'odc-odbl', 'title': 'Open Data Commons Open Database License (ODbL)'}",1
http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,1
"{'type': 'other-nc', 'title': 'Other (Non-Commercial)'}",1
"{'type': 'None', 'title': 'None'}",1
https://creativecommons.org/licenses/by-nc-sa/3.0/de/,1
http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html,1
https://opendefinition.org/licenses/tcl,1
https://opendefinition.org/licenses/miros,1
