Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.7295258620689655,0.7960818965517241,0.8626379310344827,0.9291939655172414,0.99575,0.8626379310344827
Licensing,0.5,0.5,0.5,0.5,0.5,0.5
Interlinking,0.0015696630713766,0.007103184798107424,0.01263670652483825,0.018170228251569075,0.0237037499782999,0.01263670652483825
Performance,0.5075,0.630625,0.7537499999999999,0.876875,1.0,0.7537499999999999
Accuracy,0.7996538936959209,0.8497404202719406,0.8998269468479605,0.9499134734239802,1.0,0.8998269468479605
Consistency,0.0,0.14659465649618036,0.29318931299236073,0.4397839694885411,0.5863786259847215,0.29318931299236073
Conciseness,0.0,0.2463625,0.492725,0.7390875,0.98545,0.492725
Verifiability,0.4983333333333333,0.5816666666666667,0.665,0.7483333333333333,0.8316666666666667,0.665
Reputation,7.528080842134271e-06,0.0012540370469969258,0.002500546013151717,0.0037470549793065084,0.0049935639454613,0.002500546013151717
Believability,0.75,0.8125,0.875,0.9375,1.0,0.875
Timeliness,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,0.0,0.0075,0.015,0.0225,0.03,0.015
Amount,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Interoperability,0.5139,0.5195246168582376,0.5251492337164752,0.5307738505747126,0.5363984674329502,0.5251492337164752
Rep.-Conc.,0.5,0.5000037038829965,0.500007407765993,0.5000111116489894,0.5000148155319859,0.500007407765993
Underst.,0.2575015207038262,0.26182138364689933,0.26614124658997246,0.2704611095330456,0.2747809724761187,0.26614124658997246
Interpretability,0.9808257125692544,0.9856192728081188,0.990412833046983,0.9952063932858473,0.9999999535247116,0.990412833046983
Versatility,0.3333333333333333,0.41666666666666663,0.5,0.5833333333333333,0.6666666666666666,0.5
Security,1.0,1.0,1.0,1.0,1.0,1.0
Score,0.486,0.501,0.516,0.531,0.546,0.516
