Category,MR-License,VoID file,SPARQL endpoint,Data Dump
publications,9 (10.34%),39 (44.83%),-,-
government,7 (14.29%),21 (42.86%),-,-
life sciences,1 (2.44%),3 (7.32%),-,-
cross-domain,8 (19.51%),9 (21.95 %),-,-
geographic,9 (29.03%),12 (38.71 %),-,-
user-gen. content,4 (20.00%),5 (25.00%),-,-
media,4 (16.00%),5 (20.00%),-,-
Total,43 (14.58%),94 (32.20%),94 (32.20%),117 (39.66%)
