Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.75,0.75,0.75,0.8728750000000001,0.99575,0.8319166666666667
Licensing,0.5,0.5,0.5,0.5,0.5,0.5
Interlinking,7.661747708992642e-05,0.0034017362727549135,0.0067268550684199,0.0152153025233599,0.0237037499782999,0.010169074174603243
Performance,0.5075,0.5075,0.5075,0.7537499999999999,1.0,0.6716666666666665
Accuracy,1.0,1.0,1.0,1.0,1.0,1.0
Consistency,0.2,0.3057666666070272,0.4115333332140545,0.498955979599388,0.5863786259847215,0.39930398639959197
Conciseness,0.81795,0.9017,0.98545,0.98945,0.99345,0.9322833333333334
Verifiability,0.3316666666666666,0.4149999999999999,0.4983333333333333,0.665,0.8316666666666667,0.5538888888888889
Reputation,1.1285306281103249e-05,1.991695104215299e-05,2.854859580320273e-05,0.002511056270632251,0.0049935639454613,0.001677799282515202
Believability,0.75,0.75,0.75,0.875,1.0,0.8333333333333334
Timeliness,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,0.0,0.01,0.02,0.025,0.03,0.016666666666666666
Amount,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555
Interoperability,0.0210837768432022,0.2674918884216011,0.5139,0.5902833333333334,0.6666666666666667,0.40055014783662296
Rep.-Conc.,0.4990505045907967,0.4995248633116019,0.4999992220324071,0.5000070187821966,0.5000148155319859,0.4996881807183966
Underst.,0.0257768160667584,0.15027889427143856,0.2747809724761187,0.39397872942086054,0.5131764863656023,0.2712447583028265
Interpretability,0.4999992220324071,0.7307425029802573,0.9614857839281076,0.9807428687264096,0.9999999535247116,0.8204949864950755
Versatility,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.4444444444444444
Security,0.5,0.5,0.5,0.75,1.0,0.6666666666666666
Score,0.396,0.4575,0.519,0.5325,0.546,0.48700000000000004
