License machine redeable (metadata),count
http://creativecommons.org/licenses/by-nc/2.0/,22
False,17
http://www.opendefinition.org/licenses/cc-zero,13
http://www.opendefinition.org/licenses/cc-by,7
http://www.opendefinition.org/licenses/cc-by-sa,7
http://www.opendefinition.org/licenses/odc-odbl,3
http://www.opendefinition.org/licenses/odc-pddl,2
http://www.opendefinition.org/licenses/odc-by,1
