Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.5,0.5,0.6843680555555556,0.99575,0.5925005075332952
Licensing,0.0,0.5,0.5,0.5,1.0,0.5238095238095238
Interlinking,0.0,0.0002344598956857,0.0002344598956857,0.0002344598956857,0.0237037499782999,0.0013141907447735712
Performance,0.5025,0.5075,0.51,0.8775,1.0,0.636904761904762
Accuracy,0.2,0.9999997,1.0,1.0,1.0,0.9424671550919909
Consistency,0.0,0.5862521598760813,0.598356,0.598356,0.598356,0.5366813502297821
Conciseness,0.493797,0.9879718441558442,0.9879718441558442,0.9879718441558442,0.99455,0.9577479033213306
Verifiability,0.165,0.665,0.665,0.665,0.8316666666666667,0.6213492063492063
Reputation,7.517960115186418e-06,1.9367849707719133e-05,9.494311804534973e-05,0.00015262889937389998,0.0049935639454613,0.0003177964062477461
Believability,0.75,0.75,0.75,0.75,1.0,0.7559523809523809
Timeliness,0.0,0.0,1.0,1.0,1.0,0.7142857142857143
Completeness,0.0,0.0,0.0,0.0,0.3,0.009761904761904762
Amount,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6587301587301587
Interoperability,0.0015,0.0332829046898638,0.0332829046898638,0.42954545454545456,1.0,0.18758622479037815
Rep.-Conc.,0.0,0.4999798173387678,0.4999798173387678,0.4999798173387678,0.506341768500857,0.45230188807780763
Underst.,0.0,0.2602514400692623,0.2771061725894553,0.5271061725894552,0.5433122105935512,0.3058840744126382
Interpretability,0.0,0.967193532742475,0.9999674932488918,0.9999674932488918,0.9999999535247116,0.8740819869712411
Versatility,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.36507936507936506
Security,0.5,0.5,1.0,1.0,1.0,0.8571428571428571
Score,0.242,0.541,0.541,0.554,0.576,0.5235952380952381
