Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.525,0.75,0.9956,1.0,0.7514920499484512
Licensing,0.5,0.5,0.5,0.5,1.0,0.5769230769230769
Interlinking,0.0,1.0755767954555997e-05,0.0007563699464536,0.0056370245033527,0.0237037499782999,0.004726404894167212
Performance,0.0,0.5075,1.0,1.0,1.0,0.8092307692307692
Accuracy,0.2,0.9951219512195122,0.99944,1.0,1.0,0.9047478634017789
Consistency,0.0,0.2,0.3999999721380598,0.4807755693005058,0.5863786259847215,0.3460882769429367
Conciseness,0.493745,0.7775024390243902,0.98545,0.9882939226100153,0.99387,0.8575518686852011
Verifiability,0.165,0.4983333333333333,0.61,0.665,0.7766666666666667,0.5541025641025642
Reputation,7.518489241331637e-06,1.010364789813584e-05,2.14773758584117e-05,5.915940832246129e-05,0.0049935639454613,0.0004347240449342825
Believability,0.5,0.5,0.75,0.75,1.0,0.6923076923076923
Timeliness,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,0.0,0.0,0.01,0.02,0.5,0.050769230769230775
Amount,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6410256410256411
Interoperability,0.2790697674418604,0.618881118881119,0.679245283018868,0.917,1.0,0.7335246837104042
Rep.-Conc.,0.0,0.4998247776048668,0.500030760857153,0.5016474224684687,0.7384287024574386,0.44385490079055523
Underst.,0.0,0.0421008102160576,0.2500192995305977,0.2780834487438021,0.2927042138423472,0.17928239245349303
Interpretability,0.0,0.7906643603316761,0.9977596490871364,0.9999999535247116,1.0,0.8126786235105593
Versatility,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.46153846153846156
Security,0.5,1.0,1.0,1.0,1.0,0.9615384615384616
Score,0.37,0.485,0.536,0.546,0.562,0.5103076923076924
