Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.25,0.5,0.5375000000000001,0.75,1.0,0.6397648406600933
Licensing,0.0,0.5,0.5,0.5,1.0,0.4462025316455696
Interlinking,0.0,4.125842703372165e-07,0.0002344598956857,0.001040291628188725,0.0591532427749863,0.0028179660626668256
Performance,0.0,0.5075,0.51,1.0,1.0,0.7161867088607595
Accuracy,0.0,0.996813222200372,0.9993626996426996,1.0,1.0,0.9039847478166684
Consistency,0.0,0.20881162218794902,0.4,0.5760520145580419,0.6,0.3870831158560071
Conciseness,0.0,0.7992374999999999,0.9869359036144578,0.9905729004379132,0.99455,0.8430863580226295
Verifiability,0.165,0.4433333333333333,0.61,0.665,0.8316666666666667,0.5603481012658228
Reputation,7.517666516313356e-06,7.729254020064415e-06,1.1574044860237208e-05,7.338599221961976e-05,0.0049935639454613,0.00012032859073090154
Believability,0.5,0.75,0.75,0.75,1.0,0.7199367088607594
Timeliness,0.0,0.0,0.0,1.0,1.0,0.310126582278481
Completeness,0.0,0.0,0.0,0.0,0.5,0.01018987341772152
Amount,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6160337552742615
Interoperability,0.0005,0.17952605570530092,0.5689746300211416,0.7017543859649122,1.0,0.5000629114788384
Rep.-Conc.,0.0,0.4999798173387678,0.5,0.5014269349452305,0.920453044233968,0.47813169829258395
Underst.,0.0,0.002632323103982975,0.25,0.2771061725894553,0.621851242631695,0.1800024014510336
Interpretability,0.0,0.6658364523796055,0.99508291740956,0.9999671849263456,1.0,0.822567736277067
Versatility,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.470464135021097
Security,0.5,0.5,1.0,1.0,1.0,0.8354430379746836
Score,0.2,0.46775,0.5095000000000001,0.5457500000000001,0.63,0.49458860759493667
